##Query peptide: GAALTTFISLAGR
##Number of matched proteins: 496
#Protein AC	Protein ID	Protein Name	Length	Organism	Matched Range(s)	Proteomic Databases	IEDB
L5U305	L5U305_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 69096 [1095672]	111-123		
L5UEM5	L5UEM5_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis NM3652 [1095671]	111-123		
L5UL29	L5UL29_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 2007056 [1095669]	111-123		
L5UN75	L5UN75_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis NM3642 [1095670]	111-123		
L5UZJ5	L5UZJ5_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 2001212 [1095668]	111-123		
L5V4J8	L5V4J8_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 70030 [1095666]	111-123		
L5V501	L5V501_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 77221 [1095667]	111-123		
L5VA58	L5VA58_NEIME [tr]	Ribonuclease, Rne/Rng family domain protein	919	Neisseria meningitidis 63006 [1095665]	111-123		
L7FWI2	L7FWI2_PSESX [tr]	Ribonuclease E	1103	Pseudomonas syringae BRIP34881 [1205751]	108-120		
L7GEU8	L7GEU8_PSESX [tr]	Ribonuclease E	1103	Pseudomonas syringae BRIP34876 [1204471]	108-120		
L7HA84	L7HA84_PSESX [tr]	Ribonuclease E	1100	Pseudomonas syringae BRIP39023 [1205752]	108-120		
L7HBG7	L7HBG7_XANCT [tr]	Ribonuclease E	1175	Xanthomonas translucens DAR61454 [1205753]	112-124		
L7HHS8	L7HHS8_PSEFL [tr]	Ribonuclease E	1046	Pseudomonas fluorescens BRIP34879 [1205750]	108-120		
L8MLH0	L8MLH0_PSEPS [tr]	Ribonuclease E	1056	Pseudomonas pseudoalcaligenes KF707 [1149133]	108-120		
L8NF60	L8NF60_PSESY [tr]	Ribonuclease E	1104	Pseudomonas syringae pv. syringae B64 [1260626]	111-123		
L8URT3	L8URT3_9BURK [tr]	Ribonuclease E/G family protein (Fragment)	845	Burkholderia cenocepacia K56-2Valvano [985076]	109-121		
L8UVU7	L8UVU7_9BURK [tr]	Ribonuclease E/G family protein	1054	Burkholderia cenocepacia BC7 [985077]	112-124		
M1L540	M1L540_9PROT [tr]	Ribonuclease E	826	Candidatus Kinetoplastibacterium crithidii TCC036E [1208918]	109-121		
M1L784	M1L784_9PROT [tr]	Ribonuclease E	851	Candidatus Kinetoplastibacterium oncopeltii TCC290E [1208920]	112-124		
M1LBS1	M1LBS1_9PROT [tr]	Ribonuclease E	834	Candidatus Kinetoplastibacterium blastocrithidii TCC012E [1208922]	112-124		
M1LUD6	M1LUD6_9PROT [tr]	Ribonuclease E	861	Candidatus Kinetoplastibacterium galatii TCC219 [1208921]	112-124		
M1LUN2	M1LUN2_9PROT [tr]	Ribonuclease E	879	Candidatus Kinetoplastibacterium desouzaii TCC079E [1208919]	112-124		
M2V501	M2V501_PSEST [tr]	Ribonuclease E	1039	Pseudomonas stutzeri NF13 [1212548]	108-120		
M2VZV6	M2VZV6_PSEAI [tr]	Ribonuclease E (Fragment)	587	Pseudomonas aeruginosa VRFPA01 [1262663]	108-120		
M3BI64	M3BI64_PSEAI [tr]	Ribonuclease E	1054	Pseudomonas aeruginosa PA21_ST175 [1285581]	108-120		
M3G835	M3G835_STEMA [tr]	Ribonuclease E	1095	Stenotrophomonas maltophilia EPM1 [1190567]	112-124		
M3UTM9	M3UTM9_ENTHI [tr]	S1 RNA binding domain containing protein	494	Entamoeba histolytica HM-1:IMSS-B [885319]	108-120		
M4K1J4	M4K1J4_9PSED [tr]	Ribonuclease E	1049	Pseudomonas poae RE*1-1-14 [1282356]	108-120		
M4NMS9	M4NMS9_9GAMM [tr]	Ribonuclease, Rne/Rng family	1050	Rhodanobacter sp. 2APBS1 [666685]	112-124		
M4TXN5	M4TXN5_9XANT [tr]	Ribonuclease E	1221	Xanthomonas axonopodis Xac29-1 [1304892]	112-124		
M4UD27	M4UD27_RALSL [tr]	Ribonuclease E	1014	Ralstonia solanacearum FQY_4 [1262456]	112-124		
M4WEP8	M4WEP8_XANCI [tr]	Ribonucleases G and E	1221	Xanthomonas citri subsp. citri Aw12879 [1137651]	112-124		
M4X0M7	M4X0M7_PSEDE [tr]	Ribonuclease E	1045	Pseudomonas denitrificans ATCC 13867 [1294143]	108-120		
M5IWP1	M5IWP1_9BURK [tr]	Ribonuclease E	1113	Alcaligenes sp. HPC1271 [1069631]	112-124		
M5NVQ0	M5NVQ0_9BORD [tr]	Ribonuclease E	1043	Bordetella holmesii H558 [1281885]	112-124		
M5QXM7	M5QXM7_PSESX [tr]	Ribonuclease E	1072	Pseudomonas syringae Lz4W [1206777]	108-120		
M5TJN2	M5TJN2_STEMA [tr]	Ribonuclease E	1089	Stenotrophomonas maltophilia AU12-09 [1235458]	109-121		
M7D4W5	M7D4W5_9ALTE [tr]	Ribonuclease, Rne/Rng family protein	1050	Marinobacter santoriniensis NKSG1 [1288826]	111-123		
M7ETY6	M7ETY6_BURPE [tr]	Ribonuclease E	1088	Burkholderia pseudomallei MSHR1043 [1247713]	109-121		
M7NY80	M7NY80_9GAMM [tr]	Ribonuclease E	787	Methylophaga lonarensis MPL [1286106]	115-127		
M7S356	M7S356_PSEPU [tr]	Ribonuclease E	1088	Pseudomonas putida LS46 [1193146]	108-120		
Q02PD9	Q02PD9_PSEAB [tr]	Ribonuclease E	1057	Pseudomonas aeruginosa (strain UCBPP-PA14) [208963]	111-123		
Q0BH28	Q0BH28_BURCM [tr]	RNAse E	1068	Burkholderia ambifaria (strain ATCC BAA-244 / AMMD) (Burkholderia cepacia (strain AMMD)) [339670]	112-124		
Q0K8K8	Q0K8K8_CUPNH [tr]	Ribonuclease G and E	1024	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha) [381666]	112-124		
Q0VQP0	Q0VQP0_ALCBS [tr]	Phosphoric diester hydrolase	1074	Alcanivorax borkumensis (strain SK2 / ATCC 700651 / DSM 11573) [393595]	114-126		
Q13VK4	Q13VK4_BURXL [tr]	RNAse E	1096	Burkholderia xenovorans (strain LB400) [266265]	112-124		
Q1BXW4	Q1BXW4_BURCA [tr]	RNAse E	1059	Burkholderia cenocepacia (strain AU 1054) [331271]	112-124		
Q1ICZ6	Q1ICZ6_PSEE4 [tr]	Putative ribonuclease E Rne	1075	Pseudomonas entomophila (strain L48) [384676]	111-123		
Q1LKK9	Q1LKK9_RALME [tr]	Fused ribonucleaseE: endoribonuclease RNA-binding protein RNA degradosome binding protein	1037	Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) [266264]	112-124		
Q1QX63	Q1QX63_CHRSD [tr]	RNAse E	1175	Chromohalobacter salexigens (strain DSM 3043 / ATCC BAA-138 / NCIMB 13768) [290398]	111-123		
Q1YTQ8	Q1YTQ8_9GAMM [tr]	Ribonuclease E	1008	gamma proteobacterium HTCC2207 [314287]	113-125		
Q21K98	Q21K98_SACD2 [tr]	RNAse E	968	Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024) [203122]	114-126		
Q2BJM3	Q2BJM3_NEPCE [tr]	Ribonuclease E	947	Neptuniibacter caesariensis [207954]	113-125		
Q2KUL9	Q2KUL9_BORA1 [tr]	Ribonuclease E	1015	Bordetella avium (strain 197N) [360910]	112-124		
Q2P196	Q2P196_XANOM [tr]	Ribonuclease E	1240	Xanthomonas oryzae pv. oryzae (strain MAFF 311018) [342109]	112-124		
Q2SK60	Q2SK60_HAHCH [tr]	Ribonucleases G and E	1056	Hahella chejuensis (strain KCTC 2396) [349521]	113-125		
Q2SXV7	Q2SXV7_BURTA [tr]	Ribonuclease E	1068	Burkholderia thailandensis (strain E264 / ATCC 700388 / DSM 13276 / CIP 106301) [271848]	109-121		
Q39I96	Q39I96_BURS3 [tr]	RNAse E	1053	Burkholderia sp. (strain 383) (Burkholderia cepacia (strain ATCC 17760 / NCIB 9086 / R18194)) [269483]	112-124		
Q3BSV9	Q3BSV9_XANC5 [tr]	Ribonuclease E	1216	Xanthomonas campestris pv. vesicatoria (strain 85-10) [316273]	112-124		
Q3JQ54	Q3JQ54_BURP1 [tr]	Ribonuclease E	1085	Burkholderia pseudomallei (strain 1710b) [320372]	109-121		
Q3K8K1	Q3K8K1_PSEPF [tr]	Putative ribonuclease E	1082	Pseudomonas fluorescens (strain Pf0-1) [205922]	111-123		
Q3R576	Q3R576_XYLFS [tr]	Ribonuclease E and G	1132	Xylella fastidiosa subsp. sandyi Ann-1 [155920]	112-124		
Q3R699	Q3R699_XYLFS [tr]	Ribonuclease E and G	1132	Xylella fastidiosa subsp. sandyi Ann-1 [155920]	112-124		
Q3RG31	Q3RG31_XYLFS [tr]	Ribonuclease E and G	1132	Xylella fastidiosa Dixon [155919]	112-124		
Q46YZ5	Q46YZ5_CUPPJ [tr]	RNAse E	1042	Cupriavidus pinatubonensis (strain JMP134 / LMG 1197) (Alcaligenes eutrophus) (Ralstonia eutropha) [264198]	112-124		
Q48L50	Q48L50_PSE14 [tr]	Ribonuclease, Rne/Rng family protein	1129	Pseudomonas syringae pv. phaseolicola (strain 1448A / Race 6) [264730]	127-139		
Q4KFS6	Q4KFS6_PSEF5 [tr]	Ribonuclease E	1071	Pseudomonas fluorescens (strain Pf-5 / ATCC BAA-477) [220664]	111-123		
Q4UUW9	Q4UUW9_XANC8 [tr]	Ribonuclease E	1187	Xanthomonas campestris pv. campestris (strain 8004) [314565]	112-124		
Q4ZVY6	Q4ZVY6_PSEU2 [tr]	RNAse E	1120	Pseudomonas syringae pv. syringae (strain B728a) [205918]	127-139		
Q5F5Y3	Q5F5Y3_NEIG1 [tr]	Putative ribonuclease E	919	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090) [242231]	111-123		
Q5GY94	Q5GY94_XANOR [tr]	Ribonuclease E	1237	Xanthomonas oryzae pv. oryzae (strain KACC10331 / KXO85) [291331]	117-129		
Q62LV1	Q62LV1_BURMA [tr]	Ribonuclease E	1090	Burkholderia mallei (strain ATCC 23344) [243160]	112-124		
Q63S73	Q63S73_BURPS [tr]	Putative ribonuclease E	1088	Burkholderia pseudomallei (strain K96243) [272560]	112-124		
Q7VSF2	Q7VSF2_BORPE [tr]	Ribonuclease E	1042	Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251) [257313]	112-124		
Q7W5H3	Q7W5H3_BORPA [tr]	Ribonuclease E	1041	Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253) [257311]	112-124		
Q7WD09	Q7WD09_BORBR [tr]	Ribonuclease E	1046	Bordetella bronchiseptica (strain ATCC BAA-588 / NCTC 13252 / RB50) (Alcaligenes bronchisepticus) [257310]	112-124		
Q87A48	Q87A48_XYLFT [tr]	Ribonuclease E	1132	Xylella fastidiosa (strain Temecula1 / ATCC 700964) [183190]	112-124		
Q87YF9	Q87YF9_PSESM [tr]	Ribonuclease, Rne/Rng family protein	1128	Pseudomonas syringae pv. tomato (strain DC3000) [223283]	127-139		
Q88LM4	Q88LM4_PSEPK [tr]	Ribonuclease E	1091	Pseudomonas putida (strain KT2440) [160488]	111-123		
Q8P8Z4	Q8P8Z4_XANCP [tr]	Ribonuclease E	1187	Xanthomonas campestris pv. campestris (strain ATCC 33913 / NCPPB 528 / LMG 568) [190485]	112-124		
Q8PKQ8	Q8PKQ8_XANAC [tr]	Ribonuclease E	1221	Xanthomonas axonopodis pv. citri (strain 306) [190486]	112-124		
Q8Y0K3	Q8Y0K3_RALSO [tr]	Probable ribonuclease e (Rnase e) protein	1014	Ralstonia solanacearum (strain GMI1000) (Pseudomonas solanacearum) [267608]	112-124		
Q9HZM8	Q9HZM8_PSEAE [tr]	Ribonuclease E	1057	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) [208964]	111-123		
Q9K1F8	Q9K1F8_NEIMB [tr]	Ribonuclease E	919	Neisseria meningitidis serogroup B (strain MC58) [122586]	111-123		
Q9PAB1	Q9PAB1_XYLFA [tr]	Ribonuclease E	1132	Xylella fastidiosa (strain 9a5c) [160492]	112-124		
